,coef,exp(coef),se(coef),z,p,lower 0.95,upper 0.95
sex,-0.5210315497607151,0.5939075866456034,0.1743538382577309,-2.988357210642665,0.0028048152644792566,-0.8627587933121894,-0.1793043062092407
age,0.020088202354896133,1.0202913281559385,0.009664357786875674,2.078586368374749,0.037655384974236546,0.001146409158910587,0.03902999555088168
wt.loss,0.0007595901776894978,1.0007598787393668,0.006193420351132016,0.12264469947541379,0.9023884565515227,-0.01137929065164667,0.012898471007025665
